model,grid,num_layers,hidden,learning_rate,val_loss
gcn,IEEE118,3,128,0.001,0.1237823095917701
gcn,IEEE24,8,128,0.001,0.011165056079626
gcn,IEEE39,8,128,0.001,0.0644886650890111
gcn,UK,3,128,0.001,0.249834588766098
