model,grid,num_layers,hidden,learning_rate,val_loss
gin,IEEE118,2,128,0.001,0.0557645627856254
gin,IEEE24,3,128,0.001,0.0020450692367739
gin,IEEE39,8,128,0.001,0.0119091810286045
gin,UK,3,128,0.001,0.0382324618846178
