arm,model,grid,seed,path,bytes,n_params,sha256
cross,gat,IEEE24,700,cross_gat/cc_gat_IEEE24_s700.pt,501765,122980,57f713cb17101d9beec4a4905950580d774313ea88db5e531667d63a412cee9c
cross,gat,IEEE24,1000,cross_gat/cc_gat_IEEE24_s1000.pt,501799,122980,218fbb92551402e8384b9f07a998cc75104bba91089e433e2d2727c7ef94ec12
cross,gat,IEEE39,0,cross_gat/cc_gat_IEEE39_s0.pt,501697,122980,b9dbb3a72be36f6476f2d8b67e7b609214b5019ddefd82a78c8c46bb118b48a0
cross,gat,IEEE39,100,cross_gat/cc_gat_IEEE39_s100.pt,501765,122980,ef805ca6ef6a64d0e49bbc3dd206dd68220d9b92256c43b7587d6e7cc8089ba4
cross,gat,IEEE39,300,cross_gat/cc_gat_IEEE39_s300.pt,501765,122980,63723414f23490f441e1c2438e46d40b1284a6f684dc7374a7ee764f3f74fc09
cross,gat,IEEE39,700,cross_gat/cc_gat_IEEE39_s700.pt,501765,122980,c29644c4a8cd92b847270760125a3a8bc29cafc8712798a39fe98218f968a610
cross,gat,IEEE39,1000,cross_gat/cc_gat_IEEE39_s1000.pt,501799,122980,11b4dda6ebe15b9b3fc19ab6238beaadf8f2351562ccadf73f3ea05081438607
cross,gat,UK,0,cross_gat/cc_gat_UK_s0.pt,501561,122980,fcf14609e9a69887a1ddeee58a107c41989e4fbc5b89c5582075ba61d7b3c030
cross,gat,UK,100,cross_gat/cc_gat_UK_s100.pt,501629,122980,951d39f2bed3ef53ac66b6b814855636dcc15c87d9199629436c70fab8ff20d3
cross,gat,UK,300,cross_gat/cc_gat_UK_s300.pt,501629,122980,59462b2c99e27e787f98efc5da7ccca6087a97c7980cdb211d4442b3cd3e1eda
cross,gat,UK,700,cross_gat/cc_gat_UK_s700.pt,501629,122980,ef15ccb4bda92478399610af10ad1e976d3b7b07710680d4237a5a4d66c30fc8
cross,gat,UK,1000,cross_gat/cc_gat_UK_s1000.pt,501663,122980,ad92c525ed86226770b5c3e971afff544b0b2de2e76db01f1a9297ad0fca5307
cross,gcn,IEEE118,0,cross_gcn/cc_gcn_IEEE118_s0.pt,347165,85093,b389351badba7e0f01e87a23e527b10e969a27cad4f7e0b2254aa70ec2fe5e7c
cross,gcn,IEEE118,100,cross_gcn/cc_gcn_IEEE118_s100.pt,347213,85093,318b4a0769d875ae4110f411a8bb4e90898b02662b7872fb239e9d4020a21c70
cross,gcn,IEEE118,300,cross_gcn/cc_gcn_IEEE118_s300.pt,347213,85093,c1f852ae5ddd303c73dc0dd5e5b2a9d0ded8d6840ca96c6146895d21baee3b8d
cross,gcn,IEEE118,700,cross_gcn/cc_gcn_IEEE118_s700.pt,347213,85093,89b23b69d77a3141edab65e173882579d02aeaa345a1e5a051eea8461d2f570f
cross,gcn,IEEE118,1000,cross_gcn/cc_gcn_IEEE118_s1000.pt,347237,85093,14ff99084e0d53fcb1655e833924c1abc311417728aa96013d68d216465cd555
cross,gcn,IEEE24,0,cross_gcn/cc_gcn_IEEE24_s0.pt,347141,85093,de47e84d1e24ce29b523a02c516549091b6f54558ea98932df0d91313947c30f
cross,gcn,IEEE24,100,cross_gcn/cc_gcn_IEEE24_s100.pt,347189,85093,4d230252558f11cee045e2a9fb6780531f454bb26b2613a87e96dcc9e81cca0c
cross,gcn,IEEE24,300,cross_gcn/cc_gcn_IEEE24_s300.pt,347189,85093,87d7b68df97ce3febf11d8f1a06208e2723d422d06989f9597578f56df235a91
cross,gcn,IEEE24,700,cross_gcn/cc_gcn_IEEE24_s700.pt,347189,85093,776d74d659944cefb16f38c141dadf670711d957da46a5557b302c9745f2fab7
cross,gcn,IEEE24,1000,cross_gcn/cc_gcn_IEEE24_s1000.pt,347213,85093,7c20a188b29baecc88117e13619cdb3fa06167564d6efe04823f4bf53f35c545
cross,gcn,IEEE39,0,cross_gcn/cc_gcn_IEEE39_s0.pt,347141,85093,7b4799a56cf30628d0d950289f01bc2b188899c1abee2c23c8518dd3362926ed
cross,gcn,IEEE39,100,cross_gcn/cc_gcn_IEEE39_s100.pt,347189,85093,7ff6eccb0bdeea83dc8980e19a69f4a08c720c50ca2139ae0d4118d3a6679b43
cross,gcn,IEEE39,300,cross_gcn/cc_gcn_IEEE39_s300.pt,347189,85093,ab91b39cc5907008c348da61d1b359836c231f00bb74f9bb2bc3e5eb74126d0e
cross,gcn,IEEE39,700,cross_gcn/cc_gcn_IEEE39_s700.pt,347189,85093,9b05a956be6c0c2e76154900b48a652229c24a14405a4ba1a4d52db69cdc67e9
cross,gcn,IEEE39,1000,cross_gcn/cc_gcn_IEEE39_s1000.pt,347213,85093,026416a31311871196e89c381d6456f2cf846b5749dbb127c766a893e795c3c8
cross,gcn,UK,0,cross_gcn/cc_gcn_UK_s0.pt,347045,85093,f16c0f0f9ebbb0d6166c24372242f22aff7233ac8d7ca374f7ecd9e6b391fc8f
cross,gcn,UK,100,cross_gcn/cc_gcn_UK_s100.pt,347093,85093,909dcccfd941839d94e92b0dd883f44afcb73f700a39953c652d8a1c458bab39
cross,gcn,UK,300,cross_gcn/cc_gcn_UK_s300.pt,347093,85093,4d5848d4ce8e4b31c6863034a3e9d6f77a55e75e8606bf93b96eff529f5cbbde
cross,gcn,UK,700,cross_gcn/cc_gcn_UK_s700.pt,347093,85093,feaa2b51597b2d02f4b9218a4cf7c7799d4443e3a0bc5db30489d424ec143f4d
cross,gcn,UK,1000,cross_gcn/cc_gcn_UK_s1000.pt,347117,85093,89f71dc5c71934badb958ec010cb01d16f05a5bbdf96a49e961efeedefc4f793
cross,gin,IEEE118,0,cross_gin/cc_gin_IEEE118_s0.pt,823636,202839,ae3c5fddccec7ecdbdd99d55923a05c9baf822cd187ac62632ce28586b702e7e
cross,gin,IEEE118,100,cross_gin/cc_gin_IEEE118_s100.pt,823718,202839,86464982d4e1ef755c6d41e41ec08c72ff7f72a4521506c751b377e0e822cf76
cross,gin,IEEE118,300,cross_gin/cc_gin_IEEE118_s300.pt,823718,202839,ab99bdff602a43f3f1092e28d79dd29f5029277a9cf8924911a4ea3952cbe534
cross,gin,IEEE118,700,cross_gin/cc_gin_IEEE118_s700.pt,823718,202839,2fd3fc91babac0bbeb133219b3a701c702dc7f20055208b861d7550eddb22be0
cross,gin,IEEE118,1000,cross_gin/cc_gin_IEEE118_s1000.pt,823759,202839,4e3a53e49ff307600ff86adbd626488f12d70ddd126820c3a826f41e9d6f51e8
cross,gin,IEEE24,0,cross_gin/cc_gin_IEEE24_s0.pt,823595,202839,12cb85503b8d742d6811bad8e94bb5aadeee6edfd2f2bedc971d9dcc81358f80
cross,gin,IEEE24,100,cross_gin/cc_gin_IEEE24_s100.pt,823677,202839,2b23d5d68ac8fb06b3f14d4d4fbe8d98ac9c3468b7fd1238f84baa899b3a2244
cross,gin,IEEE24,300,cross_gin/cc_gin_IEEE24_s300.pt,823677,202839,2cd49d26c6e95beda80f5e538c55f44ad8e0a83c71f758381d4b4edd34c29f9d
cross,gin,IEEE24,700,cross_gin/cc_gin_IEEE24_s700.pt,823677,202839,71753692ba825fb4eb7ca72b08f9ae9de7e9d8112cf37f4d9e7a03cf89b95c34
cross,gin,IEEE24,1000,cross_gin/cc_gin_IEEE24_s1000.pt,823718,202839,8026c06060c0f9bd423f32fd8208d631582a52170bed1e309cb5ffd7bd6e2624
cross,gin,IEEE39,0,cross_gin/cc_gin_IEEE39_s0.pt,823595,202839,79a311ce992fe9e0853619497b94e48d7250b375370f296cf1d09d821c7a4100
cross,gin,IEEE39,100,cross_gin/cc_gin_IEEE39_s100.pt,823677,202839,d783e335dec2d3dfaabb136805c459527549e40dba127a0ca800e8be30be458d
cross,gin,IEEE39,300,cross_gin/cc_gin_IEEE39_s300.pt,823677,202839,98e231829062ca2b69c1a866884efce74bd0b7190fdd5efe43e3f39331f91de3
cross,gin,IEEE39,700,cross_gin/cc_gin_IEEE39_s700.pt,823677,202839,e18f5f26048fc3e8df524ee59c52b80256061a46d41834dbd1d5d26216042c85
cross,gin,IEEE39,1000,cross_gin/cc_gin_IEEE39_s1000.pt,823718,202839,d71e3f8bca444727107eaaa1f93af90fec9fc4c6b2de7e2ff3378a83b2268d33
cross,gin,UK,0,cross_gin/cc_gin_UK_s0.pt,823431,202839,de807b7379fa56386d0664f3606cfeec759d1266aae5a587d070e99d3d9b38e4
cross,gin,UK,100,cross_gin/cc_gin_UK_s100.pt,823513,202839,2e6c92e61dc18c1a787d83695fef3c18e52a5de43c1d4596961850fcb2d8033f
cross,gin,UK,300,cross_gin/cc_gin_UK_s300.pt,823513,202839,f7cfb0cffe7e1f3bbbc781d6a4fbcf737456531d120665b958149ff6a7dc469e
cross,gin,UK,700,cross_gin/cc_gin_UK_s700.pt,823513,202839,fcaf4b74221b8189cee5e840ab81d5afc887346a197a91e48b43c5c24f16bc73
cross,gin,UK,1000,cross_gin/cc_gin_UK_s1000.pt,823554,202839,1d3ed0b6b7c3226f7a3c7760923034a3847e4f96de1864354c32af95bb8c60f8
cross,nnconv,IEEE118,0,cross_nnconv/cc_nnconv_IEEE118_s0.pt,4674829,1166660,48c12c7da5556ece81bfcf790635ef809ac5afbd77a193f679ab9ae9e6b978a6
cross,nnconv,IEEE118,100,cross_nnconv/cc_nnconv_IEEE118_s100.pt,4674949,1166660,05b1388c84c15ff9a69a0a87249e4a5580e062c846c4a5fb6d37f4e7f7653444
cross,nnconv,IEEE118,300,cross_nnconv/cc_nnconv_IEEE118_s300.pt,4674949,1166660,d161c428a88cb76c382d8c7f34b1df800d74d5b6caa98e38c3f427e45620f8b5
cross,nnconv,IEEE24,0,cross_nnconv/cc_nnconv_IEEE24_s0.pt,4674801,1166660,62c18d5fcc5105aac6822ee21a5691c8821f3cf73080ab7a690503f40e3aa960
cross,nnconv,IEEE24,100,cross_nnconv/cc_nnconv_IEEE24_s100.pt,4674857,1166660,44ae4066935f6644614b5359c320e76b9d91058519950b9fe7ef103ecc4c91f8
cross,nnconv,IEEE24,300,cross_nnconv/cc_nnconv_IEEE24_s300.pt,4674857,1166660,9fea0f706bb7d1c6cfaeb27383adb510e57c5916d75dcfdf17751b389350f10e
cross,nnconv,IEEE39,0,cross_nnconv/cc_nnconv_IEEE39_s0.pt,4674801,1166660,388bfa2e7b64a095cfc7f274ee288ef40d360bc17f5bd81145c21a4d856deb8d
cross,nnconv,IEEE39,100,cross_nnconv/cc_nnconv_IEEE39_s100.pt,4674857,1166660,bec120749dc1472b4aea44a9b3c60c0e473db29bf063c5554edec0d46dbdf5c4
cross,nnconv,IEEE39,300,cross_nnconv/cc_nnconv_IEEE39_s300.pt,4674857,1166660,f0ed3ee6930b01944fb8561ce73caec31968866f46808f5c80d395bf656eb1ec
