train_grid,test_grid,same_grid,estimator,mmd_degree,mmd_laplacian,mmd_reactance
IEEE24,IEEE24,True,biased,0.08560080746723515,0.06709409297484607,0.05990773942953281
IEEE24,IEEE24,True,unbiased,0.0386628875222552,0.0,0.0
IEEE24,IEEE39,False,biased,1.0578887595061524,0.7590240088571788,1.1000734146755713
IEEE24,IEEE39,False,unbiased,1.0558388022844156,0.756300957401893,1.0983064023619387
IEEE24,IEEE118,False,biased,1.1849934778743771,0.7313546768351611,1.2269107521948825
IEEE24,IEEE118,False,unbiased,1.1844153535691804,0.7304413662480281,1.2265425909383671
IEEE24,UK,False,biased,1.2172887478318795,0.9975751512832377,1.182138743901853
IEEE24,UK,False,unbiased,1.2170288648345806,0.9972553302333895,1.1812955890801482
IEEE39,IEEE24,False,biased,0.9288960526965186,0.7789882478286567,0.9053040939031963
IEEE39,IEEE24,False,unbiased,0.9250701065306367,0.7740733853904153,0.9011630445660975
IEEE39,IEEE39,True,biased,0.07126518579128599,0.0757750791841481,0.05619635157416407
IEEE39,IEEE39,True,unbiased,0.0,0.0,0.0
IEEE39,IEEE118,False,biased,1.1754698475814906,0.8992447143084819,1.187612464380971
IEEE39,IEEE118,False,unbiased,1.1746798794947337,0.8983159842952366,1.1870372226091328
IEEE39,UK,False,biased,1.226404762396339,1.109491746194012,1.0986183491948702
IEEE39,UK,False,unbiased,1.2261516895753153,1.109206562028862,1.0970602157518436
IEEE118,IEEE24,False,biased,0.8595184409972892,0.8066034753172989,0.8263248535395036
IEEE118,IEEE24,False,unbiased,0.8544959010944795,0.8009740761347824,0.8206473753128187
IEEE118,IEEE39,False,biased,0.8659544077265694,0.8095113214179892,0.8559170045236071
IEEE118,IEEE39,False,unbiased,0.8610345541371951,0.803932572137884,0.8508027089326713
IEEE118,IEEE118,True,biased,0.08710537898536513,0.07356652031626576,0.09512220736938434
IEEE118,IEEE118,True,unbiased,0.0,0.0,0.04115990355485638
IEEE118,UK,False,biased,1.2086413574947326,1.217554914744593,0.876596702650741
IEEE118,UK,False,unbiased,1.2083621580171524,1.2172888859526305,0.8717430055121771
UK,IEEE24,False,biased,0.2763212773154698,1.0785763161185042,0.8333145740513865
UK,IEEE24,False,unbiased,0.27618788150620893,1.0746719430290819,0.8278980492781363
UK,IEEE39,False,biased,0.31797930851738054,1.08408267094457,0.904901769584574
UK,IEEE39,False,unbiased,0.31791274068572195,1.0802539857521973,0.9006143029601358
UK,IEEE118,False,biased,0.4659813384432648,1.252992061361379,1.1698696861517315
UK,IEEE118,False,unbiased,0.46597543252020607,1.2512774966215936,1.1689341305067191
UK,UK,True,biased,0.00019260405560696773,0.0030607090752023084,0.05743586408317971
UK,UK,True,unbiased,8.63116431657751e-05,0.0017678736117483125,0.0
