data_dir,grid,state,n_samples,n_bus,ac_dp_mean_mw,ac_dp_max_mw,ac_dp_p95_mw,ac_dq_mean_mvar,ac_dq_max_mvar,ac_dq_p95_mvar,ac_dp_pct_load,ac_dq_pct_load,ac_dp_true_max_mw,branch_loading_max_pct,branch_loading_max_pct_true,overload_rate_true,overload_rate_pred,missed_overload_rate,false_overload_rate
data_a,IEEE24,truth,100,24,9.11124245914513e-05,0.0007730195183741628,0.00038908581440733053,0.00026028719617745877,0.001503936887758961,0.0010938218529107922,0.00011115767552062949,0.00046714258874529674,0.0007730195183741628,119.59675902923095,119.59675902923095,0.032105263157894734,0.032105263157894734,0.0,0.0
data_a,IEEE24,dc_pf,100,24,22.52673134779338,105.92176105389832,66.52017780657523,137.44204521684497,682.4735559697554,463.075014743102,27.72127647427725,246.0311610812274,0.0007730195183741628,126.54114526020135,119.59675902923095,0.032105263157894734,0.04131578947368421,0.0,0.009516041326808047
data_a,IEEE39,truth,100,39,0.0003869974391120976,0.004358345988308976,0.0012654390218211809,0.0004295488446790781,0.004747185210693705,0.001274929248744097,0.00031288500810522114,0.0003951704076830811,0.004358345988308976,278.8551040570269,278.8551040570269,0.19086956521739132,0.19086956521739132,0.0,0.0
data_a,IEEE39,dc_pf,100,39,27.274585142064197,233.07968856176956,161.69684214170147,204.65515326545284,840.0435616247175,595.8689380647245,22.095188594794024,178.9026788801526,0.004358345988308976,234.15457589756903,278.8551040570269,0.19086956521739132,0.16891304347826086,0.12300683371298406,0.0018807092960773778
data_a,IEEE118,truth,100,118,0.00022211967885523695,0.004088260984445132,0.000819943474624218,0.00012566542838592616,0.0017001043901954116,0.0004303750485387322,0.0007386305423245939,0.00020070528141000557,0.004088260984445132,659.4805234105978,659.4805234105978,0.10195652173913043,0.10195652173913043,0.0,0.0
data_a,IEEE118,dc_pf,100,118,14.981032274801608,137.50969017925632,40.66884587555392,68.85414110288194,673.7125317944284,247.17828093504002,50.34347200790905,109.09724929965124,0.004088260984445132,391.95291091809713,659.4805234105978,0.10195652173913043,0.07097826086956521,0.30383795309168443,0.0
data_a,UK,truth,100,29,0.0025199368269410403,0.028251577606397404,0.009305091972564567,0.002191192704344308,0.057689068202271265,0.010846765968079977,0.00018506430334999503,0.0002277959522398757,0.028251577606397404,399.2503421162759,399.2503421162759,0.21866666666666668,0.21866666666666668,0.0,0.0
data_a,UK,dc_pf,100,29,519.7951499327392,3975.8479927774765,3168.5543544142542,1254.0161601633242,14096.562820239307,5176.796156175414,38.22729392665562,112.37515651453818,0.028251577606397404,416.1769616152453,399.2503421162759,0.21866666666666668,0.22377777777777777,0.02032520325203252,0.012229806598407281
data_full_v2,IEEE24,truth,100,24,7.339385500555555e-05,0.0008034773983256471,0.0002949722718208408,0.0002461839416236866,0.0015291692576524518,0.0010767380201098797,9.363805144557599e-05,0.0004806769899263874,0.0008034773983256471,151.31231666828333,151.31231666828333,0.024337479718766902,0.024337479718766902,0.0,0.0
data_full_v2,IEEE24,dc_pf,100,24,21.314387711302388,105.91369054179837,66.43192588974136,129.73868753119174,718.0434717268967,454.89180584911566,27.415449658400203,251.50239957140332,0.0008034773983256471,152.2050105435092,151.31231666828333,0.024337479718766902,0.0335316387236344,0.011111111111111112,0.009700665188470067
data_full_v2,IEEE39,truth,100,39,0.00042255827643312836,0.004102766341884667,0.001301804375715137,0.0004073322651198618,0.0028328601904714645,0.0012293912620990203,0.00034202562445052306,0.0003231722455157501,0.004102766341884667,442.2535128840565,442.2535128840565,0.24041657434079328,0.24041657434079328,0.0,0.0
data_full_v2,IEEE39,dc_pf,100,39,28.361865586065427,323.23572789786135,151.06679197814708,209.22913939162947,829.848543477668,607.4975312121783,22.96633625971061,164.4875912755936,0.004102766341884667,403.5827076511585,442.2535128840565,0.24041657434079328,0.21138931974296477,0.12165898617511521,0.00029171528588098014
data_full_v2,IEEE118,truth,100,118,0.0002301111269010529,0.0037645663818632147,0.000840858587218027,0.0001281685516008629,0.002071275345794099,0.00045298130298826347,0.0007594110538281761,0.0001973674983542306,0.0037645663818632147,677.2283342026458,677.2283342026458,0.10627253852038028,0.10627253852038028,0.0,0.0
data_full_v2,IEEE118,dc_pf,100,118,15.043975984069101,138.48664940019734,43.58919497018892,69.24166340887011,680.0202482913792,250.25313018015078,50.1320851617858,105.84191746818072,0.0037645663818632147,393.090517068321,677.2283342026458,0.10627253852038028,0.07343459731176921,0.3089974293059126,0.0
data_full_v2,UK,truth,100,29,0.0018833787559245998,0.02256714660795467,0.007310951823540355,0.0016807409831981009,0.056646983629526915,0.006883132162847071,0.00014901957907911728,0.0002656307278541507,0.02256714660795467,366.00194481596884,366.00194481596884,0.13235955056179774,0.13235955056179774,0.0,0.0
data_full_v2,UK,dc_pf,100,29,423.66855388775804,3762.052940735987,2756.8835634132693,868.132854291442,12012.134753942268,3223.568447935015,33.79499372160382,114.61945216890948,0.02256714660795467,383.76728555262906,366.00194481596884,0.13235955056179774,0.13168539325842696,0.06281833616298811,0.008806008806008805
