model,train_grid,test_grid,unseen,seed,regime,num_layers,hidden,learning_rate,normalize,nrmse,mse,mae,nrmse_P,nrmse_Q,nrmse_V,nrmse_theta,mse_P,mse_Q,mse_V,mse_theta,mae_P,mae_Q,mae_V,mae_theta
arma_gnn,IEEE24,IEEE24,False,0,B,8,128,0.001,pu_zscore,0.0049047204665839,11.37381649017334,0.6544257402420044,0.0023578817490488,0.0075179790146648,0.0085027106106281,0.0105856098234653,23.444971084594727,21.274274826049805,1.5228270058287308e-06,0.7760239839553833,0.6162465214729309,1.5636094808578491,0.0004243257280904,0.4374224841594696
arma_gnn,IEEE24,IEEE39,True,0,B,8,128,0.001,pu_zscore,0.0962765961885452,13707.859375,32.11510467529297,0.0578015446662902,0.0839601904153823,0.2876167595386505,0.4475632607936859,27961.673828125,24375.66796875,0.0057057593949139,2494.086669921875,26.471872329711918,57.09917449951172,0.0506641902029514,44.83871841430664
arma_gnn,IEEE24,IEEE118,True,0,B,8,128,0.001,pu_zscore,0.1175465881824493,85977.0234375,91.48429107666016,0.0806120261549949,0.0615031942725181,0.1720233559608459,0.5979418158531189,255194.9375,42488.7109375,0.0014593933010473,46224.39453125,46.25704574584961,112.41278839111328,0.0241423193365335,207.24322509765625
arma_gnn,IEEE24,UK,True,0,B,8,128,0.001,pu_zscore,0.1295475661754608,3353612.25,443.1385192871094,0.0752086266875267,0.1210105270147323,2.5969061851501465,1.889630913734436,11365740.0,1955691.0,0.0109938355162739,93018.0078125,545.736328125,978.7388916015624,0.0376680381596088,248.04129028320312
arma_gnn,IEEE24,IEEE24,False,100,B,8,128,0.001,pu_zscore,0.004465720616281,9.428894996643066,0.6312243342399597,0.0023705170024186,0.0059572234749794,0.0093085616827011,0.0097674150019884,23.696918487548828,13.357965469360352,1.8251599840368728e-06,0.6606976389884949,0.7687342166900635,1.352039813995361,0.0004413368878886,0.4036821722984314
arma_gnn,IEEE24,IEEE39,True,100,B,8,128,0.001,pu_zscore,0.1040637046098709,16014.9912109375,32.67609024047852,0.0642660409212112,0.0892372950911521,0.1822350919246673,0.3965566456317901,34565.859375,27536.10546875,0.0022905992809683,1958.002197265625,29.49296188354492,61.19945526123047,0.0319756008684635,39.97998046875
arma_gnn,IEEE24,IEEE118,True,100,B,8,128,0.001,pu_zscore,0.1323528736829757,109000.65625,129.85842895507812,0.080464944243431,0.0891454219818115,0.214961901307106,0.845733106136322,254264.5625,89263.984375,0.0022788746282458,92474.078125,46.146934509277344,179.2076873779297,0.0304285436868667,294.0486145019531
arma_gnn,IEEE24,UK,True,100,B,8,128,0.001,pu_zscore,0.128492921590805,3299231.0,406.9849853515625,0.0735534653067588,0.1304656416177749,1.2883089780807495,1.4223190546035769,10870979.0,2273244.75,0.0027056820690631,52699.5703125,533.0296020507812,908.1256713867188,0.0186909083276987,186.7658843994141
arma_gnn,IEEE24,IEEE24,False,300,B,8,128,0.001,pu_zscore,0.0051352311857044,12.468027114868164,0.6257013082504272,0.0028600601945072,0.0062852371484041,0.008208337239921,0.0085615739226341,34.494991302490234,14.869483947753906,1.4192080470820656e-06,0.5076339244842529,0.7532796263694763,1.4034075736999512,0.0003547662927303,0.345763236284256
arma_gnn,IEEE24,IEEE39,True,300,B,8,128,0.001,pu_zscore,0.0852852240204811,10756.6181640625,26.503721237182617,0.0560422427952289,0.067231647670269,0.1856603175401687,0.2987267673015594,26285.44140625,15629.935546875,0.0023775147274136,1111.0941162109375,25.5817813873291,49.578651428222656,0.0333042703568935,30.821149826049805
arma_gnn,IEEE24,IEEE118,True,300,B,8,128,0.001,pu_zscore,0.1108843758702278,76507.328125,84.16102600097656,0.0745535492897033,0.0576275177299976,0.1818729490041732,0.6246702671051025,218277.53125,37302.5078125,0.0016312994994223,50449.28515625,42.72697067260742,77.90158081054688,0.0255899149924516,215.98995971679688
arma_gnn,IEEE24,UK,True,300,B,8,128,0.001,pu_zscore,0.1318129450082779,3471926.0,485.9685363769531,0.0729657560586929,0.1526972353458404,2.203423023223877,1.7054771184921265,10697950.0,3113983.25,0.0079146632924675,75771.3203125,526.9411010742188,1205.083251953125,0.0295036733150482,211.82012939453125
arma_gnn,IEEE24,IEEE24,False,700,B,8,128,0.001,pu_zscore,0.0054647070355713,14.11924648284912,0.6731143593788147,0.0029770168475806,0.0070097954012453,0.0096970554441213,0.0093675861135125,37.37389373779297,18.49537849426269,1.980685283342609e-06,0.6077133417129517,0.727389395236969,1.5565974712371826,0.0004576705978251,0.4080128371715545
arma_gnn,IEEE24,IEEE39,True,700,B,8,128,0.001,pu_zscore,0.1111506596207618,18270.578125,33.69234085083008,0.0688280686736106,0.095731183886528,0.1937680840492248,0.3743951916694641,39647.46484375,31689.5859375,0.002589700743556,1745.2720947265625,31.574338912963867,65.67974853515625,0.0332631692290306,37.48200225830078
arma_gnn,IEEE24,IEEE118,True,700,B,8,128,0.001,pu_zscore,0.1183562353253364,87165.5,96.4667510986328,0.0790125057101249,0.0692019686102867,0.1852700859308242,0.6200278401374817,245168.125,53791.67578125,0.0016928096301853,49702.2109375,45.30957794189453,127.97515869140624,0.0248323325067758,212.55743408203125
arma_gnn,IEEE24,UK,True,700,B,8,128,0.001,pu_zscore,0.1326977312564849,3518692.0,502.22503662109375,0.0731669664382934,0.1563464552164077,2.3716471195220947,1.4281976222991943,10757033.0,3264600.25,0.0091693140566349,53136.09765625,528.3807373046875,1305.1873779296875,0.0280324295163154,175.30404663085938
arma_gnn,IEEE24,IEEE24,False,1000,B,8,128,0.001,pu_zscore,0.0044193677604198,9.234172821044922,0.6142075061798096,0.0023333139251917,0.0059302374720573,0.0089422781020402,0.0103405965492129,22.958953857421875,13.237217903137209,1.6843492858242826e-06,0.740516185760498,0.6198177337646484,1.3681851625442505,0.0004249637422617,0.468402087688446
arma_gnn,IEEE24,IEEE39,True,1000,B,8,128,0.001,pu_zscore,0.1138321682810783,19162.765625,36.16313552856445,0.0688950791954994,0.0995688363909721,0.1861230581998825,0.4609153270721435,39724.69921875,34281.2421875,0.0023893811739981,2645.117431640625,31.63278579711914,66.33321380615234,0.0334940440952777,46.65305709838867
arma_gnn,IEEE24,IEEE118,True,1000,B,8,128,0.001,pu_zscore,0.1170245856046676,85215.1015625,88.67577362060547,0.0806712880730629,0.0580188073217868,0.4469804167747497,0.6060042977333069,255570.265625,37810.796875,0.0098531357944011,47479.34765625,46.28588485717773,97.67694854736328,0.0663940981030464,210.6739044189453
