grid,dc_nrmse,dc_nrmse_P,dc_nrmse_Q,dc_nrmse_V,dc_nrmse_theta
IEEE24,0.016845759004354477,0.011848947033286095,0.0,0.14256292581558228,0.018279656767845154
IEEE39,0.009603219106793404,0.007954573258757591,0.0,0.2170511931180954,0.059659067541360855
IEEE118,0.023904643952846527,0.01793583482503891,0.0,0.10880667716264725,0.15345428884029388
UK,0.01649000681936741,0.011101067997515202,0.0,0.13641779124736786,0.01323509868234396
