model,n_points,mean_nrmse,std_nrmse,mmd_range,g_score
gcn,4,0.14722562395036215,0.04069690472469163,0.3528372180234438,0.18208240107677126
arma_gnn,3,0.12388392289479573,0.023832492749976612,0.053782242851172835,0.14709761888830233
gat,4,0.14062233641743657,0.025885937384949865,0.3528372180234438,0.16279356433364553
gin,4,0.14232603460550305,0.02450930132748857,0.3528372180234438,0.1633181778575657
transformer,4,0.1368213091045618,0.01923673590390166,0.3528372180234438,0.15329751584750528
nnconv,4,0.8732535894960165,1.2699805879256474,0.3528372180234438,1.9609881631116939
