train_grid,IEEE118,IEEE24,IEEE39,UK
IEEE118,0.014664540998637676,0.37837710976600647,0.2984158992767334,0.3210587799549103
IEEE24,0.10291559994220734,0.028071850538253784,0.13771438598632812,0.14678262174129486
IEEE39,0.103049635887146,0.21951857209205627,0.02340976521372795,0.16338977217674255
UK,0.10219541937112808,0.15413886308670044,0.1354878842830658,0.008583144284784794
