held_out_grid,train_grids,mmd_to_train_mean,mmd_to_train_min,mmd_to_train_max
IEEE24,IEEE39+IEEE118+UK,0.8212584166147995,0.7281939842145772,0.9960243281993628
IEEE39,IEEE24+IEEE118+UK,0.9355449276098072,0.7848199204332221,1.116881623343053
IEEE118,IEEE24+IEEE39+UK,0.9373915553516555,0.7741155365871634,1.21896636348827
UK,IEEE24+IEEE39+IEEE118,1.126264267488707,1.0520256397377408,1.2446793358090391
