,IEEE24,IEEE39,IEEE118,UK
IEEE24,0.06365828647025479,0.7395569374304586,0.7281939842145772,0.9960243281993627
IEEE39,0.7848199204332221,0.11568041777628038,0.9049332390531464,1.116881623343053
IEEE118,0.8190927659795335,0.7741155365871634,0.10069590622190554,1.21896636348827
UK,1.0820878269193412,1.0520256397377408,1.2446793358090393,0.0030617434018893413
