grid,dc_nrmse,dc_mse,dc_mae,dc_nrmse_P,dc_nrmse_Q,dc_nrmse_V,dc_nrmse_theta,dc_mse_P,dc_mse_Q,dc_mse_V,dc_mse_theta,dc_mae_P,dc_mae_Q,dc_mae_V,dc_mae_theta,dc_nrmse_PVtheta
IEEE24,0.06506528705358505,2335.3916015625,15.619592666625977,0.010480379685759544,0.13564692437648773,0.17196528613567352,0.024718157947063446,539.3170776367188,8799.794921875,0.0003591650747694075,2.4542202949523926,4.560749053955078,56.444969177246094,0.01139767374843359,1.4612571001052856,0.01768704690039158
IEEE39,0.09785498678684235,14563.3388671875,31.941022872924805,0.007328924257308245,0.12585574388504028,0.22225722670555115,0.06584647297859192,457.36187744140625,57747.92578125,0.0031642757821828127,48.06045913696289,3.2974445819854736,118.916015625,0.036282993853092194,5.514347553253174,0.012878629378974438
IEEE118,0.05149576812982559,14939.19140625,25.266376495361328,0.01819447986781597,0.06851892173290253,0.12693698704242706,0.15425346791744232,12609.8466796875,46387.25390625,0.0007081597577780485,759.6720581054688,9.980757713317871,66.06621551513672,0.015712829306721687,25.00283432006836,0.031535107642412186
UK,0.0664629340171814,1045975.3125,306.0514831542969,0.011402133852243423,0.14547280967235565,0.18281708657741547,0.014652316458523273,297458.0,3886436.75,2.8356580514810048e-05,6.004278182983398,93.6208267211914,1128.2757568359375,0.0019915769807994366,2.3072669506073,0.019680455327033997
