model,grid,seed,regime,num_layers,hidden,learning_rate,nrmse,mse,mae,nrmse_P,nrmse_Q,nrmse_V,nrmse_theta,mse_P,mse_Q,mse_V,mse_theta,mae_P,mae_Q,mae_V,mae_theta
gcn,IEEE24,0,A,2,128,0.001,0.0041990466415882,9.726628303527832,0.9510515332221984,0.0001994678168557,0.0084014274179935,0.5634694695472717,0.0351068712770938,0.1953600794076919,33.7566032409668,0.0038561439141631,4.950687885284424,0.0730970352888107,2.3619749546051025,0.0375925935804843,1.331541895866394
gcn,IEEE24,100,A,2,128,0.001,0.0034635784104466,6.617759704589844,0.7026001214981079,0.0005491164629347,0.0066484529525041,0.637823224067688,0.0309435501694679,1.4805364608764648,21.139453887939453,0.004940980579704,3.846108913421631,0.2056885808706283,1.552088499069214,0.037961333990097,1.0146620273590088
gcn,IEEE24,300,A,2,128,0.001,0.0478327274322509,1262.1510009765625,5.365575790405273,0.0296470373868942,0.0387592352926731,1.3431007862091064,0.0598904527723789,4315.71435546875,718.460693359375,0.0219093579798936,14.407763481140137,11.298768043518066,7.5544891357421875,0.0762530043721199,2.5327959060668945
gcn,IEEE24,700,A,2,128,0.001,0.0039648436941206,8.671876907348633,0.9598203301429749,0.0008644037880003,0.0068881013430655,0.9038467407226562,0.0455056950449943,3.668795108795166,22.690898895263672,0.0099220648407936,8.31788444519043,0.3155675232410431,1.8318467140197756,0.0528220608830452,1.639045000076294
gcn,IEEE24,1000,A,2,128,0.001,0.0040176990441977,8.904626846313477,0.7765263915061951,0.0008535957313142,0.007651868276298,0.6579020023345947,0.0316892601549625,3.5776236057281494,28.001903533935547,0.0052569629624485,4.033718109130859,0.3095533847808838,1.7975581884384155,0.040473073720932,0.9585208892822266
gcn,IEEE39,0,A,2,128,0.001,0.0137393996119499,287.0982360839844,2.623561382293701,0.0016974301543086,0.0172764454036951,0.8467757105827332,0.0567011497914791,24.533716201782227,1088.1759033203125,0.045930303633213,35.637454986572266,0.412460058927536,6.658965110778809,0.1246585249900817,3.298161745071411
gcn,IEEE39,100,A,2,128,0.001,0.0582155510783195,5154.34033203125,13.725334167480469,0.0323230363428592,0.0563829205930233,0.875150203704834,0.1087394505739212,8896.1865234375,11590.0556640625,0.0490600205957889,131.06814575195312,13.769730567932127,32.83707427978516,0.1393507868051529,8.155182838439941
gcn,IEEE39,300,A,2,128,0.001,0.0133471172302961,270.93804931640625,2.410905361175537,0.0016566372942179,0.0168562904000282,0.8162603378295898,0.046964518725872,23.36869239807129,1035.8917236328125,0.0426795557141304,24.44908905029297,0.3215008378028869,6.3697686195373535,0.1221335977315902,2.83021879196167
gcn,IEEE39,700,A,2,128,0.001,0.0658476278185844,6594.400390625,15.056640625,0.0401379689574241,0.058425199240446,1.3672778606414795,0.1391455829143524,13717.9853515625,12444.8798828125,0.1197501644492149,214.6158142089844,17.365116119384766,31.725868225097656,0.2324082553386688,10.90317153930664
gcn,IEEE39,1000,A,2,128,0.001,0.0601679943501949,5505.8720703125,12.73232650756836,0.0374659188091754,0.0520817711949348,1.156895637512207,0.128089040517807,11952.322265625,9889.2158203125,0.0857335701584816,181.86404418945312,16.11870002746582,25.876195907592773,0.1966861635446548,8.737725257873535
gcn,IEEE118,0,A,2,128,0.001,0.0061214203014969,211.1000823974609,3.1274242401123047,0.0008608278003521,0.0086036929860711,0.2704403400421142,0.0515318848192691,28.226890563964844,731.3873901367188,0.0032143844291567,84.78291320800781,0.4004291892051697,5.861350059509277,0.0320047624409198,6.215912818908691
gcn,IEEE118,100,A,2,128,0.001,0.0062753385864198,221.8494415283203,3.321287155151367,0.0013165542623028,0.0085767330601811,0.2760628461837768,0.0544217601418495,66.02494049072266,726.810791015625,0.0033494287636131,94.55870056152344,0.6579676866531372,6.026256561279297,0.032527033239603,6.568397998809815
gcn,IEEE118,300,A,2,128,0.001,0.0062746154144406,221.79830932617188,2.951093435287476,0.0006957206642255,0.0089124999940395,0.2346448749303817,0.0512693412601947,18.43742561340332,784.83203125,0.0024197865277528,83.92121124267578,0.2133270502090454,5.504636287689209,0.0271496605128049,6.05925989151001
gcn,IEEE118,700,A,2,128,0.001,0.0071347868070006,286.77813720703125,4.261697769165039,0.0008878951193764,0.0097286216914653,0.3303247690200805,0.0754873007535934,30.02989196777344,935.147705078125,0.0047955359332263,181.929931640625,0.3699233531951904,7.01994514465332,0.039709385484457,9.61721420288086
gcn,IEEE118,1000,A,2,128,0.001,0.0065726828761398,243.37127685546875,4.023326396942139,0.0008227339130826,0.0089278751984238,0.5529258251190186,0.0708238035440445,25.7839412689209,787.5421752929688,0.0134365782141685,160.14552307128906,0.4028507471084595,6.092040538787842,0.0688612461090087,9.52955150604248
gcn,UK,0,A,2,128,0.001,0.0018250512657687,788.7013549804688,8.873488426208496,0.0007824259810149,0.0029093357734382,24.913915634155277,0.0843849778175354,1400.6832275390625,1554.4461669921875,0.5266283750534058,199.1491851806641,5.0473809242248535,20.967437744140625,0.2291895747184753,9.249943733215332
gcn,UK,100,A,2,128,0.001,0.0022246809676289,1171.9200439453125,9.640439987182615,0.0005320772179402,0.0044965716078877,19.545663833618164,0.1080301627516746,647.7430419921875,3713.22216796875,0.3241313993930816,326.39111328125,2.841766119003296,23.62605857849121,0.1805779188871383,11.913354873657228
gcn,UK,300,A,2,128,0.001,0.0020089934114366,955.6954345703124,11.046667098999023,0.0008450203458778,0.0031993715092539,18.049997329711918,0.105099506676197,1633.7579345703125,1879.824462890625,0.2764232456684112,308.9225769042969,5.221436023712158,26.513242721557617,0.156978353857994,12.29501247406006
gcn,UK,700,A,2,128,0.001,0.0020940576214343,1038.3404541015625,11.089686393737791,0.0004373408155515,0.0044279885478317,24.89126205444336,0.0639582648873329,437.6162109375,3600.81591796875,0.5256710648536682,114.40411376953124,3.139821529388428,33.57074737548828,0.2304784804582595,7.417704105377197
gcn,UK,1000,A,2,128,0.001,0.0114757809787988,31183.654296875,53.89435195922852,0.0018701740773394,0.0250572990626096,58.63497161865234,0.2255000919103622,8002.34912109375,115307.21875,2.9169816970825195,1422.1378173828125,13.168975830078123,174.1077117919922,0.5135948657989502,27.7871208190918
gat,IEEE24,0,A,2,128,0.001,0.0013630796456709,1.0249518156051636,0.282170295715332,0.0003535918076522,0.002578999614343,0.9759073257446288,0.0085466261953115,0.6138955950737,3.180937528610229,0.0115672377869486,0.2934071719646454,0.1448484361171722,0.5762760639190674,0.0553468465805053,0.3522099256515503
gat,IEEE24,100,A,2,128,0.001,0.0052480692975223,15.193578720092772,0.9844686985015868,0.0026801484636962,0.0069041815586388,1.0904079675674438,0.0258913356810808,35.27019500732422,22.79696655273437,0.0144407749176025,2.692714214324951,0.948451042175293,1.9393839836120603,0.0598486848175525,0.9901913404464722
gat,IEEE24,300,A,2,128,0.001,0.0025332665536552,3.540158748626709,0.4586444497108459,0.0004572526959236,0.0051599266007542,0.8839085102081299,0.0098696956411004,1.0266033411026,12.733261108398438,0.009489145129919,0.3912810981273651,0.1725505888462066,1.2236601114273071,0.0521498434245586,0.3862171769142151
gat,IEEE24,700,A,2,128,0.001,0.0029803966172039,4.900147438049316,0.6074386835098267,0.0003538491146173,0.0054701487533748,1.2231007814407349,0.0340505801141262,0.6147893071174622,14.31037139892578,0.0181692484766244,4.6572585105896,0.1352254599332809,1.376368284225464,0.0811978504061698,0.8369629979133606
gat,IEEE24,1000,A,2,128,0.001,0.001448870752938,1.158031344413757,0.2966595888137817,0.0003864936297759,0.0027313390746712,0.9593689441680908,0.0089208092540502,0.7334572076797485,3.5678274631500244,0.0111785056069493,0.3196611404418945,0.0935840830206871,0.6464908719062805,0.0601581074297428,0.3864053189754486
gat,IEEE39,0,A,2,128,0.001,0.0133459297940135,270.88983154296875,2.3137896060943604,0.0014833783498033,0.0168071519583463,1.2034146785736084,0.0560867823660373,18.73628044128418,1029.86083984375,0.0927669331431388,34.869361877441406,0.2876765131950378,5.928410530090332,0.1869544386863708,2.852115631103516
gat,IEEE39,100,A,2,128,0.001,0.0136664658784866,284.05828857421875,2.566481590270996,0.0022943601943552,0.0170830618590116,1.6888583898544312,0.0496051348745822,44.823184967041016,1063.951416015625,0.1827044188976287,27.27571678161621,0.7483983039855957,6.361390590667725,0.2707720994949341,2.885365724563598
gat,IEEE39,300,A,2,128,0.001,0.0132102156057953,265.40850830078125,2.182844400405884,0.0013398732990026,0.0167555976659059,1.0875858068466189,0.0452722124755382,15.286462783813477,1023.5527954101562,0.0757686644792556,22.71885108947754,0.4142349362373352,5.607617378234863,0.179319366812706,2.530205011367798
gat,IEEE39,700,A,2,128,0.001,0.0136090787127614,281.6776733398437,2.4671947956085205,0.0022080328781157,0.0169289615005254,0.5748415589332581,0.0603210963308811,41.51361846923828,1044.8427734375,0.0211669765412807,40.33308029174805,0.4123100042343139,5.868403434753418,0.0852705910801887,3.5027952194213867
gat,IEEE39,1000,A,2,128,0.001,0.0137979313731193,289.5495910644531,2.469946384429932,0.0027692087460309,0.0170795191079378,1.3585339784622192,0.0513896532356739,65.29664611816406,1063.5101318359375,0.1182234361767768,29.273473739624023,0.864118754863739,6.289807796478272,0.1954806298017501,2.5303778648376465
gat,IEEE118,0,A,2,128,0.001,0.0016692322678864,15.697031021118164,1.0740854740142822,0.0005189621006138,0.0018321732059121,0.2922630310058594,0.0246236976236104,10.258922576904297,33.16734313964844,0.0037540725897997,19.358104705810547,0.2518300116062164,1.4315944910049438,0.0352302268147468,2.5776867866516118
gat,IEEE118,100,A,2,128,0.001,0.0042304815724492,100.8239288330078,1.99869704246521,0.0013787138741463,0.0055245705880224,0.7545262575149536,0.0302956905215978,72.40669250488281,301.5606384277344,0.0250209383666515,29.30340003967285,0.6894845962524414,3.437252283096313,0.0902547240257263,3.777796268463135
gat,IEEE118,300,A,2,128,0.001,0.0065207253210246,239.5387725830078,2.187328577041626,0.0011234492994844,0.0094201220199465,0.4213566482067108,0.0322907604277133,48.07700347900391,876.7801513671875,0.0078028733842074,33.2899284362793,0.5341839790344238,4.201876163482666,0.0509092323482036,3.9623444080352783
gat,IEEE118,700,A,2,128,0.001,0.0023370173294097,30.768611907958984,1.2883113622665403,0.0009362751734443,0.0025717145763337,0.5078568458557129,0.027602419257164,33.39162063598633,65.34662628173828,0.0113354166969656,24.324874877929688,0.4861474335193634,1.951904296875,0.0661695078015327,2.649024486541748
