comparison,metric,n,tau_mean,tau_sd,tau_min,tau_max,rho_mean,rho_sd
regime_a_vs_cross_context,mae,20,0.05333333333333333,0.3668101792512568,-0.6,0.7999999999999999,0.06071428571428572,0.4564580161587424
regime_a_vs_cross_context,mse,20,0.04999999999999999,0.35268394478949666,-0.6666666666666669,0.6,0.05428571428571429,0.44193695328258276
regime_a_vs_cross_context,nrmse,20,0.023333333333333324,0.3685121023665889,-0.6666666666666669,0.7999999999999999,0.03785714285714285,0.4850786420124341
regime_a_vs_ood,mae,20,0.006666666666666668,0.36827398902739794,-0.7333333333333333,0.6,0.03499999999999999,0.47648180311563026
regime_a_vs_ood,mse,20,0.019999999999999983,0.3796582026997349,-0.6,0.8666666666666666,0.021428571428571432,0.4685260385130895
regime_a_vs_ood,nrmse,20,0.019999999999999983,0.3796582026997349,-0.6,0.8666666666666666,0.021428571428571432,0.4685260385130895
regime_a_vs_regime_b_diagonal,mae,20,0.63,0.24034575484361068,0.19999999999999998,0.9999999999999999,0.7314285714285714,0.21722792160496315
regime_a_vs_regime_b_diagonal,mse,20,0.6633333333333333,0.20573644640684585,0.3333333333333333,0.9999999999999999,0.7707142857142857,0.17755197723114655
regime_a_vs_regime_b_diagonal,nrmse,20,0.6633333333333333,0.20573644640684585,0.3333333333333333,0.9999999999999999,0.7707142857142857,0.17755197723114655
