seed,model,train_grid,mean_nrmse,std_nrmse,mmd_range,g_score
100,gin,UK,1.5171467065811155,0.0,0.0,1.5171467065811155
100,nnconv,IEEE24,0.1197675466537475,0.0,0.0,0.1197675466537475
100,nnconv,IEEE39,0.1287965178489685,0.0,0.0,0.1287965178489685
100,nnconv,IEEE118,0.3832902312278747,0.0,0.0,0.3832902312278747
100,nnconv,UK,7.635084629058838,0.0,0.0,7.635084629058838
100,transformer,IEEE24,0.1269230395555496,0.0,0.0,0.1269230395555496
100,transformer,IEEE39,0.122425228357315,0.0,0.0,0.122425228357315
100,transformer,IEEE118,0.2817731499671936,0.0,0.0,0.2817731499671936
100,transformer,UK,1.026400446891785,0.0,0.0,1.026400446891785
300,arma_gnn,IEEE24,0.1108843758702278,0.0,0.0,0.1108843758702278
300,arma_gnn,IEEE39,0.102898009121418,0.0,0.0,0.102898009121418
300,arma_gnn,IEEE118,0.3101466000080108,0.0,0.0,0.3101466000080108
300,arma_gnn,UK,2.384748935699463,0.0,0.0,2.384748935699463
300,gat,IEEE24,0.1117283329367637,0.0,0.0,0.1117283329367637
300,gat,IEEE39,0.1337068974971771,0.0,0.0,0.1337068974971771
300,gat,IEEE118,0.3168882429599762,0.0,0.0,0.3168882429599762
300,gat,UK,3.566170454025269,0.0,0.0,3.566170454025269
300,gcn,IEEE24,0.1236862018704414,0.0,0.0,0.1236862018704414
300,gcn,IEEE39,0.1288666129112243,0.0,0.0,0.1288666129112243
300,gcn,IEEE118,0.3990526795387268,0.0,0.0,0.3990526795387268
300,gcn,UK,3.83302640914917,0.0,0.0,3.83302640914917
300,gin,IEEE24,0.1184608489274978,0.0,0.0,0.1184608489274978
300,gin,IEEE39,0.3265602886676788,0.0,0.0,0.3265602886676788
300,gin,IEEE118,0.6019245982170105,0.0,0.0,0.6019245982170105
300,gin,UK,0.6469057202339172,0.0,0.0,0.6469057202339172
300,nnconv,IEEE24,0.1577715426683426,0.0,0.0,0.1577715426683426
300,nnconv,IEEE39,0.1281470507383346,0.0,0.0,0.1281470507383346
300,nnconv,IEEE118,0.6064220070838928,0.0,0.0,0.6064220070838928
300,nnconv,UK,6.752297878265381,0.0,0.0,6.752297878265381
300,transformer,IEEE24,0.1393235772848129,0.0,0.0,0.1393235772848129
300,transformer,IEEE39,0.1306729167699813,0.0,0.0,0.1306729167699813
300,transformer,IEEE118,0.2664196491241455,0.0,0.0,0.2664196491241455
300,transformer,UK,2.070646286010742,0.0,0.0,2.070646286010742
700,arma_gnn,IEEE24,0.1183562353253364,0.0,0.0,0.1183562353253364
700,arma_gnn,IEEE39,0.12968610227108,0.0,0.0,0.12968610227108
700,arma_gnn,IEEE118,0.5848769545555115,0.0,0.0,0.5848769545555115
700,arma_gnn,UK,0.7520074844360352,0.0,0.0,0.7520074844360352
700,gat,IEEE24,0.1140921339392662,0.0,0.0,0.1140921339392662
700,gat,IEEE39,0.1216085702180862,0.0,0.0,0.1216085702180862
700,gat,IEEE118,0.4901636242866516,0.0,0.0,0.4901636242866516
700,gat,UK,0.8441983461380005,0.0,0.0,0.8441983461380005
700,gcn,IEEE24,0.1169736012816429,0.0,0.0,0.1169736012816429
700,gcn,IEEE39,0.1043228432536125,0.0,0.0,0.1043228432536125
700,gcn,IEEE118,0.8208879828453064,0.0,0.0,0.8208879828453064
700,gcn,UK,1.140379548072815,0.0,0.0,1.140379548072815
700,gin,IEEE24,0.1276385188102722,0.0,0.0,0.1276385188102722
700,gin,IEEE39,0.1497796922922134,0.0,0.0,0.1497796922922134
700,gin,IEEE118,0.5128564834594727,0.0,0.0,0.5128564834594727
700,gin,UK,0.8434145450592041,0.0,0.0,0.8434145450592041
700,transformer,IEEE24,0.1371346861124038,0.0,0.0,0.1371346861124038
700,transformer,IEEE39,0.1180486232042312,0.0,0.0,0.1180486232042312
700,transformer,IEEE118,0.301226943731308,0.0,0.0,0.301226943731308
700,transformer,UK,1.1705199480056765,0.0,0.0,1.1705199480056765
1000,arma_gnn,IEEE24,0.1170245856046676,0.0,0.0,0.1170245856046676
1000,arma_gnn,IEEE39,0.1287555247545242,0.0,0.0,0.1287555247545242
1000,arma_gnn,IEEE118,0.5523875951766968,0.0,0.0,0.5523875951766968
