model,metric,regime_a,regime_b_diagonal,cross_context,ood,protocol_factor,unseen_grid_factor_cross_context,total_factor_cross_context,unseen_grid_factor_ood,total_factor_ood
arma_gnn,nrmse,0.00044143346385674997,0.004650741792283905,0.8214634639521439,0.7977203629910946,10.535544250884255,176.63063241116558,1860.899843829506,171.52540360649584,1807.1134798470187
gat,nrmse,0.003956302398000796,0.008232996950391626,1.1050029053042332,0.346431890130043,2.080982726333542,134.21636276103206,279.3019324970242,42.07846695650288,87.56456288707922
gcn,nrmse,0.010025940110790488,0.015508071891963432,1.058065415394527,1.0434711143374442,1.5467947863834495,68.22675460660174,105.53278831735457,67.28567687890266,104.07713419456806
gin,nrmse,0.0036766751407412298,0.00858755168737839,1.0044777372231086,0.38694927021861075,2.3356841055168966,116.96904703344568,273.2027439934774,45.059323577327866,105.24434588490745
nnconv,nrmse,0.0039590400362309085,0.008933977495568441,1.9853601563307974,3.4095452247808375,2.256601957497197,222.22578435143853,501.47513997380617,381.63799119396583,861.2050379836012
transformer,nrmse,0.00391514690491016,0.007876243314240078,0.9385692360500494,0.2694272592663765,2.0117363423482604,119.16458121007211,239.72771874101272,34.20758457007769,68.8166410635769
