arm,metric,model,rank_overall,mean,sd,n,mean_rank,modal_rank,rank_frequencies,overlaps_next
cross_context,mae,gcn,5,4685.302689774831,10309.526996152268,20,3.4,1.0,"{1.0: 6, 2.0: 2, 3.0: 1, 4.0: 3, 5.0: 5, 6.0: 3}",True
cross_context,mae,gin,6,28184.895596345264,63001.83953518783,20,5.2,6.0,"{3.0: 1, 4.0: 3, 5.0: 7, 6.0: 9}",False
ood,nrmse,arma_gnn,1,0.1321043841540813,0.021833801964880804,20,1.4,1.0,"{1.0: 13, 2.0: 6, 3.0: 1}",True
ood,nrmse,transformer,2,0.15409840457141394,0.06313610801884526,20,3.25,4.0,"{1.0: 3, 2.0: 4, 3.0: 4, 4.0: 5, 5.0: 2, 6.0: 2}",True
ood,nrmse,gat,3,0.1582743279635906,0.056204951884015836,20,3.75,4.0,"{2.0: 5, 3.0: 2, 4.0: 7, 5.0: 5, 6.0: 1}",True
ood,nrmse,gin,4,0.1660771586000919,0.0800785177858237,20,3.9,3.0,"{2.0: 2, 3.0: 9, 4.0: 2, 5.0: 3, 6.0: 4}",True
ood,nrmse,gcn,5,0.2307861559092998,0.15249732594454163,20,4.05,5.0,"{1.0: 3, 2.0: 1, 3.0: 1, 4.0: 4, 5.0: 9, 6.0: 2}",True
ood,nrmse,nnconv,6,1.6167376805096865,2.682021650895979,12,3.75,3.0,"{1.0: 1, 2.0: 2, 3.0: 3, 4.0: 2, 5.0: 1, 6.0: 3}",False
ood,mse,arma_gnn,1,1505536.6483398438,2616864.309196857,20,1.4,1.0,"{1.0: 13, 2.0: 6, 3.0: 1}",True
ood,mse,gcn,2,2056737.0364257812,3721674.0901249675,20,4.05,5.0,"{1.0: 3, 2.0: 1, 3.0: 1, 4.0: 4, 5.0: 9, 6.0: 2}",True
ood,mse,transformer,3,2184351.6864501955,4494473.4960361635,20,3.25,4.0,"{1.0: 3, 2.0: 4, 3.0: 4, 4.0: 5, 5.0: 2, 6.0: 2}",True
ood,mse,gat,4,2546527.217578125,5829272.565031202,20,3.75,4.0,"{2.0: 5, 3.0: 2, 4.0: 7, 5.0: 5, 6.0: 1}",True
ood,mse,gin,5,5337519.37890625,13390869.539208023,20,3.9,3.0,"{2.0: 2, 3.0: 9, 4.0: 2, 5.0: 3, 6.0: 4}",True
ood,mse,nnconv,6,16532716.963541666,26763004.157584056,12,3.75,3.0,"{1.0: 1, 2.0: 2, 3.0: 3, 4.0: 2, 5.0: 1, 6.0: 3}",False
ood,mae,arma_gnn,1,176.40550708770752,249.15119180656808,20,1.45,1.0,"{1.0: 14, 2.0: 4, 3.0: 1, 4.0: 1}",True
ood,mae,transformer,2,201.17738275527955,285.5531177679105,20,3.2,3.0,"{1.0: 1, 2.0: 6, 3.0: 6, 4.0: 3, 5.0: 3, 6.0: 1}",True
ood,mae,gat,3,205.9605993270874,298.8121393850275,20,3.35,4.0,"{1.0: 1, 2.0: 3, 3.0: 6, 4.0: 8, 5.0: 2}",True
ood,mae,gcn,4,228.2954414367676,320.86198514722844,20,4.4,5.0,"{1.0: 2, 3.0: 1, 4.0: 4, 5.0: 11, 6.0: 2}",True
ood,mae,nnconv,5,350.75693639119464,327.38879481108836,12,3.5833333333333335,2.0,"{1.0: 2, 2.0: 3, 3.0: 1, 4.0: 1, 5.0: 2, 6.0: 3}",True
ood,mae,gin,6,365.75306034088135,588.284193174256,20,4.05,6.0,"{2.0: 4, 3.0: 5, 4.0: 3, 5.0: 2, 6.0: 6}",False
