arm,model,quantity,gnn_nrmse,dc_nrmse,gnn_over_dc
regime_a,arma_gnn,P,0.00021452880246210335,0.011851479415781747,0.018101436532592805
regime_a,arma_gnn,Q,0.0008584089533541899,0.1188735999166965,0.007221190861181459
regime_a,arma_gnn,V,5.975958777964115,0.17599414661526674,33.9554405239846
regime_a,arma_gnn,theta,0.012813344155438191,0.0648676038254052,0.19753071486848855
regime_a,arma_gnn,aggregate,0.00064934553520283,0.07021974399685854,0.009247335553258072
regime_a,arma_gnn,PVtheta,1.9963288836406718,0.08423774328548456,23.69874602261181
regime_a,gat,P,0.005528280154976475,0.011851479415781747,0.4664632963556321
regime_a,gat,Q,0.012744951876811638,0.1188735999166965,0.10721431744090332
regime_a,gat,V,27.268702010810376,0.17599414661526674,154.9409598855655
regime_a,gat,theta,0.05821371800266203,0.0648676038254052,0.8974235915873742
regime_a,gat,aggregate,0.012771637245896233,0.07021974399685854,0.18188099982915923
regime_a,gat,PVtheta,9.110814669656005,0.08423774328548456,108.1559680294277
regime_a,gcn,P,0.007722269147052376,0.011851479415781747,0.6515869349415733
regime_a,gcn,Q,0.01771058507729318,0.1188735999166965,0.1489866975485246
regime_a,gcn,V,7.843435554951429,0.17599414661526674,44.5664569293752
regime_a,gcn,theta,0.07866413332521913,0.0648676038254052,1.2126875155886452
regime_a,gcn,aggregate,0.016340149677125694,0.07021974399685854,0.23270021716195252
regime_a,gcn,PVtheta,2.643273985807901,0.08423774328548456,31.378736926151454
regime_a,gin,P,0.000328595151950094,0.011851479415781747,0.027726087218489185
regime_a,gin,Q,0.004864094266667906,0.1188735999166965,0.04091820446319902
regime_a,gin,V,7.688639086484909,0.17599414661526674,43.6869022882489
regime_a,gin,theta,0.025041320023592502,0.0648676038254052,0.38603738302084695
regime_a,gin,aggregate,0.0038119960823677955,0.07021974399685854,0.05428667017838081
regime_a,gin,PVtheta,2.571336333886818,0.08423774328548456,30.524753318384516
regime_a,nnconv,P,0.00047631309037866665,0.011851479415781747,0.04019017994870711
regime_a,nnconv,Q,0.00572075016195105,0.1188735999166965,0.048124648079640904
regime_a,nnconv,V,5.783407062292099,0.17599414661526674,32.86136029816353
regime_a,nnconv,theta,0.02245146055550619,0.0648676038254052,0.3461120687598629
regime_a,nnconv,aggregate,0.0043491680529162005,0.07021974399685854,0.061936540997796455
regime_a,nnconv,PVtheta,1.9354449453126612,0.08423774328548456,22.975982853118143
regime_a,transformer,P,0.0017391750436217602,0.011851479415781747,0.1467475057422644
regime_a,transformer,Q,0.00856475987238804,0.1188735999166965,0.0720493017658252
regime_a,transformer,V,24.90625904127955,0.17599414661526674,141.51754203352033
regime_a,transformer,theta,0.05076452876674007,0.0648676038254052,0.7825867732585846
regime_a,transformer,aggregate,0.006748224035254631,0.07021974399685854,0.09610151862069634
regime_a,transformer,PVtheta,8.319587581696636,0.08423774328548456,98.76318212254657
cross_context,arma_gnn,P,0.06475835767487292,0.0122101057786494,5.303668850118353
cross_context,arma_gnn,Q,0.5252201265189796,0.10772182606160637,4.875707604683614
cross_context,arma_gnn,V,232.49975871406497,0.15120964683592314,1537.5987152879825
cross_context,arma_gnn,theta,16.075896984059362,0.0611570279579609,262.862626272648
cross_context,arma_gnn,aggregate,0.43548954867001155,0.06923703849315638,6.289835009523939
cross_context,arma_gnn,PVtheta,82.88013801859972,0.07485892685751115,1107.1510305825836
cross_context,gat,P,0.0713479514510254,0.0122101057786494,5.8433524446433935
cross_context,gat,Q,0.3408096524013672,0.10772182606160637,3.1637938648241755
cross_context,gat,V,143.59244562983514,0.15120964683592314,949.6248991682827
cross_context,gat,theta,4.894322905689478,0.0611570279579609,80.0287893168029
cross_context,gat,aggregate,0.2637157582677901,0.06923703849315638,3.8088827021949623
cross_context,gat,PVtheta,49.51937216232521,0.07485892685751115,661.5025654399501
cross_context,gcn,P,0.3167403413492138,0.0122101057786494,25.940835164840767
cross_context,gcn,Q,2.606261416070629,0.10772182606160637,24.194367208183994
cross_context,gcn,V,551.1899412810802,0.15120964683592314,3645.203548945351
cross_context,gcn,theta,34.45434731370769,0.0611570279579609,563.3751093560576
cross_context,gcn,aggregate,2.0536667152424344,0.06923703849315638,29.661388758640012
cross_context,gcn,PVtheta,195.32034297871238,0.07485892685751115,2609.1790408709876
cross_context,gin,P,0.17623019971069878,0.0122101057786494,14.433142751216376
