seed,model,n_pairs,mean_nrmse,std_nrmse,mmd_range,g_score
0,arma_gnn,12,0.45690842034916085,0.5929754295742551,0.516485351594462,0.9349708261333891
0,gat,12,0.4649098652104537,0.6009381594780369,0.516485351594462,0.9493918992365216
0,gcn,12,1.6879274553308885,2.1993853331351607,0.516485351594462,3.4610927353156886
0,gin,12,7.548666059970856,15.962566967890252,0.516485351594462,20.417838687646935
0,nnconv,12,0.9528559458752474,1.6811951488226697,0.516485351594462,2.308251392894008
0,transformer,12,0.4245520420372486,0.529139117113196,0.516485351594462,0.851149008294853
0,dc_pf,4,0.06923703849315638,0.016690186807983082,0.0,0.06923703849315638
100,arma_gnn,12,1.0072822005798419,1.6815806910219868,0.516485351594462,2.3629884753701162
100,gat,12,0.17031366936862466,0.07478175968101568,0.516485351594462,0.2306034320786115
100,gcn,12,4.32680741387109,6.9651593030916255,0.516485351594462,9.942184792149813
100,gin,12,5.92066018221279,15.894887086775801,0.516485351594462,18.735268648921867
100,nnconv,12,1.2964774128049612,2.5658167920472277,0.516485351594462,3.3650632044428344
100,transformer,12,1.132552994415164,2.111525842738617,0.516485351594462,2.8348851213634125
100,dc_pf,4,0.06923703849315638,0.016690186807983082,0.0,0.06923703849315638
300,arma_gnn,12,0.46854267828166485,0.6188354473728701,0.516485351594462,0.967453675265203
300,gat,12,0.37391841039061546,0.35908005801180193,0.516485351594462,0.6634121530327225
300,gcn,12,0.8353663434584936,1.2503305378878526,0.516485351594462,1.8433946615918737
300,gin,12,1.042119247217973,2.3459821481791443,0.516485351594462,2.933472267511929
300,nnconv,12,2.536974517007669,7.073638390471395,0.516485351594462,8.23980876264308
300,transformer,12,0.2588424247999986,0.22044525157207537,0.516485351594462,0.4365674738562829
300,dc_pf,4,0.06923703849315638,0.016690186807983082,0.0,0.06923703849315638
700,arma_gnn,12,0.278641218940417,0.30757287660120175,0.516485351594462,0.5266093842445296
700,gat,12,0.4134063671032588,0.4917259915372818,0.516485351594462,0.809840517283356
700,gcn,12,5.712313949440916,9.527937051659748,0.516485351594462,13.393827013730125
700,gin,12,8.707613385592898,23.917071495660853,0.516485351594462,27.989782879088274
700,transformer,12,2.2232656305034957,3.7837220232378725,0.516485351594462,5.273738151003355
700,dc_pf,4,0.06923703849315638,0.016690186807983082,0.0,0.06923703849315638
1000,arma_gnn,12,0.6831211217989525,0.9659216237509296,0.516485351594462,1.4618562804899626
1000,gat,12,0.30331189557909966,0.32619052986445135,0.516485351594462,0.5662897892213257
1000,gcn,12,1.0806882337977488,1.225997670010984,0.516485351594462,2.0690991634582243
1000,gin,12,1.6717882609615724,3.2653556451997967,0.516485351594462,4.304348899445573
1000,transformer,12,2.548317871366938,4.236757141586385,0.516485351594462,5.964031593745823
1000,dc_pf,4,0.06923703849315638,0.016690186807983082,0.0,0.06923703849315638
