arm,model,quantity,n,nrmse_mean,nrmse_sd,mse_mean,mse_sd,mae_mean,mae_sd
regime_a,arma_gnn,P,20,0.00021452880246210335,8.237928683680388e-05,50.1477958086878,102.79171469674071,0.5518822278827429,0.9316606192935333
regime_a,arma_gnn,Q,20,0.0008584089533541899,0.0005925785391025602,95.53306475766003,204.7175463494211,2.206351948529482,3.3283122529973337
regime_a,arma_gnn,V,20,5.975958777964115,10.71812753764739,0.12790007867151867,0.27424691554840247,0.08289664443582294,0.08072453720722443
regime_a,arma_gnn,theta,20,0.012813344155438191,0.012457789913651386,8.808793293312192,13.21955349950549,1.2546217259019614,1.3932326242211355
regime_a,gat,P,20,0.005528280154976475,0.013904900905581403,486155.17625631095,1669569.5505153951,35.028153378143905,108.43962587164891
regime_a,gat,Q,20,0.012744951876811638,0.01540760853376985,55133.54245762825,169681.8975897983,37.90874735414982,98.78535186825164
regime_a,gat,V,20,27.268702010810376,62.90586123803587,3.851786435081158,11.527396251099354,0.3018705431371927,0.49187279751812485
regime_a,gat,theta,20,0.05821371800266203,0.06379641528950125,189.78615005910396,464.468544911773,5.8043999299407005,8.578867370858662
regime_a,gcn,P,20,0.007722269147052376,0.014073066764060754,2561.4842922993003,4394.21034843409,4.582703031599522,6.087752940616292
regime_a,gcn,Q,20,0.01771058507729318,0.018389338542329617,8344.675805282594,25473.141168061928,21.392762821912765,37.75723550413429
regime_a,gcn,V,20,7.843435554951429,14.806716257581272,0.24930453103734176,0.650091913619608,0.12857053382322187,0.11717733332614551
regime_a,gcn,theta,20,0.07866413332521913,0.04692800887012565,179.97668986320497,308.6291954730553,7.4027249157428745,6.091584196750813
regime_a,gin,P,20,0.000328595151950094,0.00022273809682739625,36.52333583114669,77.23071148733797,0.5340608886443079,0.7917268993435225
regime_a,gin,Q,20,0.004864094266667906,0.006957295602274257,316.7850688546896,421.3264618352221,3.4152023855596783,3.1729072370355125
regime_a,gin,V,20,7.688639086484909,13.30201748923269,0.20205602066125716,0.39104872220641845,0.10494294688105579,0.09245565474463104
regime_a,gin,theta,20,0.025041320023592502,0.01688101069449243,22.118787313625216,31.877574525393648,2.084905179589987,2.0216076032846706
