comparison,metric,n,tau_mean,tau_sd,tau_min,tau_max,rho_mean,rho_sd
regime_a_vs_cross_context,mae,20,-0.10999999999999999,0.2660299415941021,-0.7333333333333333,0.2,-0.11571428571428573,0.34906350082001714
regime_a_vs_cross_context,mse,20,0.013333333333333326,0.30634613302010893,-0.7999999999999999,0.6,0.02214285714285715,0.3603755947346376
regime_a_vs_cross_context,nrmse,20,-0.033333333333333326,0.1940639552143836,-0.39999999999999997,0.4666666666666666,-0.04571428571428572,0.22623809022661892
regime_a_vs_ood,mae,20,0.39,0.3428637565499677,-0.2,0.9999999999999999,0.43571428571428567,0.40503013373992197
regime_a_vs_ood,mse,20,0.3233333333333333,0.26248920891214106,-0.2,0.7999999999999999,0.3792857142857143,0.32785063141600185
regime_a_vs_ood,nrmse,20,0.3233333333333333,0.26248920891214106,-0.2,0.7999999999999999,0.3792857142857143,0.32785063141600185
