model,held_out_grid,seed,regime,num_layers,hidden,learning_rate,normalize,nrmse,mse,mae,nrmse_P,nrmse_Q,nrmse_V,nrmse_theta,mse_P,mse_Q,mse_V,mse_theta,mae_P,mae_Q,mae_V,mae_theta
arma_gnn,IEEE24,0,B,8,128,0.001,pu_zscore,1.8850555419921875,1680064.625,235.28497314453125,0.9786231517791748,2.6687514781951904,0.1640192121267318,0.3347542881965637,4038654.25,2680827.5,0.0005666634533554,776.0607299804688,407.687255859375,510.1340026855469,0.0152310049161314,23.30338287353516
arma_gnn,IEEE39,0,B,8,128,0.001,pu_zscore,1.5486695766448977,3546874.0,242.31906127929688,1.1790711879730225,0.8577178120613098,0.2140081822872162,0.83403480052948,11634944.0,2543891.5,0.0031589723657816,8661.05859375,546.185791015625,338.1418762207031,0.0391952060163021,84.90937042236328
arma_gnn,IEEE118,0,B,8,128,0.001,pu_zscore,0.2795067131519317,486123.6875,126.79933166503906,0.2057049572467804,0.154447928071022,0.1437286436557769,0.3385295867919922,1661735.25,267943.0,0.001018788665533,14816.533203125,118.58016967773438,272.3515625,0.020300855860114,116.24525451660156
arma_gnn,UK,0,B,8,128,0.001,pu_zscore,0.2609972059726715,13612127.0,1112.9227294921875,0.0908287540078163,0.530622124671936,4.07237434387207,3.208689451217652,16577122.0,37603180.0,0.0270353537052869,268205.9375,733.140625,3263.756591796875,0.0536393858492374,454.740478515625
arma_gnn,IEEE24,100,B,8,128,0.001,pu_zscore,1.446316838264465,989019.0,188.5659942626953,0.5455989837646484,2.6785128116607666,0.1506751030683517,0.2033088505268097,1255315.5,2700474.0,0.0004782101605087,286.25689697265625,225.61862182617188,514.2905883789062,0.0134119987487792,14.341453552246094
arma_gnn,IEEE39,100,B,8,128,0.001,pu_zscore,1.2349226474761963,2255317.75,201.3418426513672,0.9812911748886108,0.5219431519508362,0.3507733345031738,1.2762161493301392,8058980.0,942011.3125,0.0084866872057318,20279.21484375,454.5642395019531,219.7784881591797,0.0661778226494789,130.95849609375
arma_gnn,IEEE118,100,B,8,128,0.001,pu_zscore,0.1843893676996231,211560.265625,65.96619415283203,0.142698273062706,0.0532206185162067,0.1362963616847992,0.3378545939922333,799668.125,31815.44921875,0.0009161487687379,14757.5087890625,82.20159912109375,66.2538070678711,0.0188782289624214,115.39051055908205
arma_gnn,UK,100,B,8,128,0.001,pu_zscore,0.2424085140228271,11742215.0,1181.6309814453125,0.0828711688518524,0.4939519464969635,6.061602592468262,4.733790397644043,13799690.0,32585418.0,0.0598979070782661,583755.5625,663.8546142578125,3351.357177734375,0.0911589488387107,711.2214965820312
arma_gnn,IEEE24,1000,B,8,128,0.001,pu_zscore,1.3661779165267944,882454.375,164.17787170410156,0.7356600165367126,1.8200527429580688,0.1816763579845428,0.3217776119709015,2282233.0,1246868.0,0.000695236492902,717.0592041015625,304.1969299316406,330.69873046875,0.0161713734269142,21.79974174499512
arma_gnn,IEEE39,1000,B,8,128,0.001,pu_zscore,1.3343745470046997,2633199.25,217.10630798339844,1.0006996393203735,0.7863075137138367,0.3040832281112671,1.0582541227340698,8380920.0,2137935.25,0.0063777868635952,13943.84765625,463.5239868164063,293.6391906738281,0.0562643148005008,111.20581817626952
arma_gnn,IEEE118,1000,B,8,128,0.001,pu_zscore,0.2225522547960281,308195.5625,105.93364715576172,0.1606877744197845,0.1335399597883224,0.1172625720500946,0.3780006766319275,1014000.0625,200309.109375,0.0006781351985409,18473.048828125,92.61270904541016,201.1309051513672,0.0150428703054785,129.9758758544922
arma_gnn,UK,1000,B,8,128,0.001,pu_zscore,0.1283147633075714,3290088.75,405.8034973144531,0.0750526338815689,0.1144521608948707,0.8412014245986938,1.8819636106491089,11318639.0,1749451.375,0.0011535508092492,92264.671875,551.71484375,834.357177734375,0.0104287164285779,237.1315460205078
arma_gnn,IEEE24,300,B,8,128,0.001,pu_zscore,1.1343225240707395,608346.1875,151.47828674316406,0.5543644428253174,1.735842227935791,0.1594793051481247,0.6853876113891602,1295974.75,1134156.75,0.000535728118848,3253.238525390625,227.57080078125,337.2174987792969,0.0146409654989838,41.11018753051758
arma_gnn,IEEE39,300,B,8,128,0.001,pu_zscore,1.0597057342529297,1660728.875,162.6387939453125,0.831292986869812,0.4970065355300903,0.2584778666496277,0.6489054560661316,5783523.0,854149.5,0.004608204588294,5242.82666015625,385.0550231933594,201.28176879882807,0.047456070780754,64.1708755493164
arma_gnn,IEEE118,300,B,8,128,0.001,pu_zscore,0.1436775475740432,128451.7890625,69.07889556884766,0.1072665229439735,0.0665643885731697,0.1393887400627136,0.3069484829902649,451856.71875,49769.36328125,0.0009581926278769,12181.0390625,61.71310806274414,110.07564544677734,0.0195808578282594,104.50723266601562
arma_gnn,UK,300,B,8,128,0.001,pu_zscore,0.1541299521923065,4747100.0,639.7664794921875,0.0733740553259849,0.2405178993940353,3.5449090003967285,4.130727291107178,10818013.0,7725893.0,0.0204855147749185,444494.21875,539.8989868164062,1448.568115234375,0.0481436885893344,570.5506591796875
arma_gnn,IEEE24,700,B,8,128,0.001,pu_zscore,1.3711183071136477,888848.25,156.05319213867188,0.7727833986282349,1.6593561172485352,0.169236734509468,0.2949641048908233,2518380.25,1036410.375,0.0006032885285094,602.5342407226562,319.9084167480469,286.4258117675781,0.0148017108440399,17.86370277404785
arma_gnn,IEEE39,700,B,8,128,0.001,pu_zscore,1.5414413213729858,3513842.0,235.6856384277344,1.1971831321716309,0.769687294960022,0.288173496723175,0.9699612259864808,11995144.0,2048511.0,0.0057278694584965,11714.166015625,554.5547485351562,291.4051818847656,0.0532869696617126,96.72943878173828
arma_gnn,IEEE118,700,B,8,128,0.001,pu_zscore,0.2232627123594284,310166.40625,96.8475112915039,0.1643196493387222,0.1216277033090591,0.0971811190247535,0.3307616412639618,1060355.125,166166.40625,0.0004657589888665,14144.37109375,94.7002410888672,179.3837890625,0.0119223073124885,113.2940902709961
arma_gnn,UK,700,B,8,128,0.001,pu_zscore,0.193063274025917,7448240.5,844.0462036132812,0.0761900693178176,0.3665105104446411,3.189248561859131,2.689762830734253,11664313.0,17940180.0,0.0165811050683259,188469.46875,574.8626708984375,2436.317138671875,0.0463784784078598,364.9588317871094
nnconv,IEEE118,0,B,2,128,0.001,pu_zscore,0.3273391723632812,666742.6875,150.36178588867188,0.2324399948120117,0.2167989611625671,0.0908066183328628,0.3655066788196563,2121749.25,527949.75,0.0004066609835717,17272.0546875,134.0012664794922,342.0519714355469,0.0106798615306615,125.38326263427734
nnconv,IEEE24,0,B,2,128,0.001,pu_zscore,3.7644972801208496,6700260.5,380.7664184570313,2.3148298263549805,3.340362071990967,0.7082539796829224,0.8057196736335754,22596638.0,4199906.5,0.0105660781264305,4495.84521484375,969.863525390625,510.6641540527344,0.0413348190486431,42.49663925170898
nnconv,IEEE39,0,B,2,128,0.001,pu_zscore,13.317010879516602,262265824.0,1600.6571044921875,11.032037734985352,2.95960021018982,0.2919816970825195,3.942362308502197,1018581440.0,30288362.0,0.0058802575804293,193515.484375,5097.98974609375,986.0362548828124,0.0417369082570076,318.5606994628906
nnconv,UK,0,B,2,128,0.001,pu_zscore,0.1596752554178238,5094828.0,549.8182983398438,0.0813349038362503,0.2241518497467041,0.9026561975479126,3.800524234771729,13292794.0,6710248.0,0.0013282551662996,376270.34375,633.8489379882812,1120.0836181640625,0.0127445049583911,445.3277893066406
nnconv,IEEE118,100,B,2,128,0.001,pu_zscore,0.3819332718849182,907689.5,108.89558410644533,0.29610675573349,0.1234366297721862,0.1067155301570892,0.3557060062885284,3443253.75,171145.828125,0.0005616332055069,16358.2099609375,170.74658203125,143.01788330078125,0.0124417720362544,121.80538940429688
nnconv,IEEE24,100,B,2,128,0.001,pu_zscore,3.4165587425231934,5518937.5,334.5488586425781,2.115732431411743,2.914825201034546,0.4387391805648803,0.3810643851757049,18876750.0,3197993.5,0.0040546050295233,1005.6343994140624,886.616455078125,426.7437133789063,0.0279319565743207,24.8073673248291
nnconv,IEEE39,100,B,2,128,0.001,pu_zscore,7.580404758453369,84979272.0,902.5997314453124,6.339377880096436,0.9880216121673584,0.3361140191555023,4.031317710876465,336339264.0,3375534.5,0.0077921678312122,202347.0,2929.646728515625,362.2903137207031,0.0556580983102321,318.4062805175781
nnconv,UK,100,B,2,128,0.001,pu_zscore,0.1229591146111488,3021174.25,415.69427490234375,0.0692809224128723,0.1325520128011703,1.4294027090072632,1.8939430713653564,9644722.0,2346532.25,0.003330779960379,93443.0234375,488.42138671875,945.996826171875,0.0201954785734415,228.3387451171875
nnconv,IEEE118,300,B,2,128,0.001,pu_zscore,0.3320582509040832,686105.4375,101.41566467285156,0.2583595812320709,0.097186379134655,0.0965923815965652,0.3626066148281097,2621328.75,106093.5625,0.0004601328982971,16999.05859375,148.96824645996094,131.77194213867188,0.010762957856059,124.91171264648438
nnconv,IEEE24,300,B,2,128,0.001,pu_zscore,3.331631183624268,5247972.5,330.9661865234375,2.075309991836548,2.741297483444214,0.1687292009592056,0.3790234625339508,18162336.0,2828556.75,0.0005996754625812,994.8912353515624,869.3736572265625,431.2254638671875,0.0128095392137765,23.253007888793945
