model,train_grid,test_grid,unseen,seed,regime,num_layers,hidden,learning_rate,nrmse,mse,mae,nrmse_P,nrmse_Q,nrmse_V,nrmse_theta,mse_P,mse_Q,mse_V,mse_theta,mae_P,mae_Q,mae_V,mae_theta
gcn,IEEE24,IEEE24,False,0,B,2,128,0.001,0.0516180247068405,1563.7113037109375,7.6481428146362305,0.0317573361098766,0.0477331057190895,0.6241016983985901,0.0704112648963928,4764.32666015625,1446.86767578125,0.0085595622658729,43.641563415527344,12.262686729431152,13.838860511779783,0.0512551367282867,4.439767837524414
gcn,IEEE24,IEEE39,True,0,B,2,128,0.001,0.1118854880332946,20329.23828125,36.577613830566406,0.0633898451924324,0.1022833883762359,5.1348652839660645,0.4641522765159607,34674.98828125,43430.07421875,2.035348415374756,3209.854736328125,27.842668533325195,71.26237487792969,0.760208249092102,46.44521331787109
gcn,IEEE24,IEEE118,True,0,B,2,128,0.001,0.1086340770125389,67806.7109375,55.888893127441406,0.0739538595080375,0.0685634240508079,1.1497269868850708,0.6232844591140747,210339.125,48333.44921875,0.0800322666764259,12554.1982421875,41.82415771484375,74.89751434326172,0.1084260866045951,106.7254867553711
gcn,IEEE24,UK,True,0,B,2,128,0.001,0.1416453272104263,5434614.5,509.44281005859375,0.0854990631341934,0.1213250309228897,76.62738037109375,1.9546514749526975,17476330.0,4131119.0,9.283720016479492,130999.484375,713.8848876953125,1116.9912109375,0.8172403573989868,206.0778045654297
gcn,IEEE24,IEEE24,False,100,B,2,128,0.001,0.0534090809524059,1674.1099853515625,8.579499244689941,0.0322988852858543,0.0518019311130046,0.4170641303062439,0.0853915736079216,4928.20263671875,1704.0457763671875,0.0038224912714213,64.18685913085938,12.469083786010742,16.2520694732666,0.0352192111313343,5.561626434326172
gcn,IEEE24,IEEE39,True,100,B,2,128,0.001,0.0845800340175628,11617.4091796875,27.12895393371582,0.041510235518217,0.0843496993184089,1.970056414604187,0.3722356557846069,14869.19140625,29535.7109375,0.2995973825454712,2064.430908203125,17.876741409301758,54.8527717590332,0.3474549949169159,35.438846588134766
gcn,IEEE24,IEEE118,True,100,B,2,128,0.001,0.1189718469977378,81325.8984375,58.55549240112305,0.0833621472120285,0.0656355395913124,0.4543922543525696,0.6522626876831055,267261.34375,44293.59375,0.0125007890164852,13748.6953125,47.23714065551758,74.73165893554688,0.0657689720392227,112.18739318847656
gcn,IEEE24,UK,True,100,B,2,128,0.001,0.1415175646543502,5424817.0,475.8363037109375,0.0862498134374618,0.1178654879331588,77.6701431274414,0.6784657835960388,17784592.0,3898882.5,9.538107872009276,15782.90234375,718.5383911132812,1099.30615234375,0.9720656871795654,84.52854919433594
gcn,IEEE24,IEEE24,False,300,B,2,128,0.001,0.0500295236706733,1468.948486328125,7.293758869171143,0.031091695651412,0.0445877462625503,1.2596595287322998,0.0727525129914283,4566.6982421875,1262.468017578125,0.0348696149885654,46.59207534790039,11.965925216674805,12.51843547821045,0.1025646105408668,4.588108062744141
gcn,IEEE24,IEEE39,True,300,B,2,128,0.001,0.1073418408632278,18711.630859375,32.74527740478516,0.0651014298200607,0.092266097664833,9.033493041992188,0.4432747662067413,36572.7890625,35339.84375,6.299297332763672,2927.591064453125,28.667659759521484,58.92080307006836,1.1580438613891602,42.2346076965332
