grid,dc_nrmse,dc_mse,dc_mae,dc_nrmse_P,dc_nrmse_Q,dc_nrmse_V,dc_nrmse_theta,dc_mse_P,dc_mse_Q,dc_mse_V,dc_mse_theta,dc_mae_P,dc_mae_Q,dc_mae_V,dc_mae_theta,dc_nrmse_PVtheta
IEEE24,0.060853637754917145,1750.8575439453125,14.380175590515137,0.009764919057488441,0.13240568339824677,0.1406829059123993,0.019028594717383385,402.1082763671875,6598.8134765625,0.00041688699275255203,2.507591962814331,3.901141405105591,52.1556396484375,0.012143317610025406,1.451783299446106,0.016304131597280502
IEEE39,0.10549771785736084,16459.41015625,34.695457458496094,0.008388042449951172,0.13731403648853302,0.23558290302753448,0.06336075812578201,588.85107421875,65198.796875,0.003828005865216255,49.98542404174805,3.8334314823150635,128.85537719726562,0.04112936928868294,6.05191707611084,0.014569363556802273
IEEE118,0.0511508584022522,16280.517578125,26.327939987182617,0.018568161875009537,0.06717110425233841,0.12312958389520645,0.08350684493780136,13539.7353515625,50680.76953125,0.0007476912578567863,901.5658569335938,10.355331420898438,68.41213989257812,0.016056306660175323,26.528223037719727,0.03141109272837639
UK,0.0502144992351532,503863.1875,209.13577270507812,0.008845629170536995,0.11795655637979507,0.11572175472974777,0.012692982330918312,157224.359375,1858224.0,2.18306540773483e-05,4.197013854980469,64.77116394042969,769.8843383789062,0.001758251222781837,1.8858715295791626,0.015266302041709423
