held_out_grid,train_grids,mmd_pooled_degree,mmd_pooled_laplacian
IEEE24,IEEE39+IEEE118+UK,0.6886761726489077,0.6526698099276933
IEEE39,IEEE24+IEEE118+UK,0.971118967745593,0.6937337499451033
IEEE118,IEEE24+IEEE39+UK,1.0923993816517654,0.6181825155561456
UK,IEEE24+IEEE39+IEEE118,0.9743382228144079,0.9672340833151225
