,IEEE24,IEEE39,IEEE118,UK
IEEE24,0.08560080746723515,1.0578887595061524,1.1849934778743771,1.2172887478318795
IEEE39,0.9288960526965186,0.07126518579128599,1.1754698475814906,1.226404762396339
IEEE118,0.8595184409972892,0.8659544077265694,0.08710537898536513,1.2086413574947326
UK,0.2763212773154698,0.31797930851738054,0.4659813384432648,0.00019260405560696773
