model,grid,num_layers,hidden,learning_rate,val_loss
gat,IEEE118,2,128,0.001,0.0775081577897071
gat,IEEE24,8,128,0.001,0.0122513829171657
gat,IEEE39,8,128,0.001,0.0076200765464454
gat,UK,3,128,0.001,0.0392916379123926
